LineNo,Group,Stage,Cowcode,CowGroup,cowidNo,birthday,parity,calving_date,daysfrmcalving,AItimes,firstAI_date,fstAIdaysfrmcalving,lastAI_date,daysfrmlstAI,expDateofnextCalving,opendays,base_date
123,1,待機,395,1.①群,0866730851,2019/1/22,2,2022/1/23,49,0,,,,,,49,2022/3/13
124,1,待機,394,1.①群,0866731216,2019/3/16,2,2022/1/26,46,0,,,,,,46,2022/3/13
125,1,待機,300,1.①群,0864428156,2017/5/30,4,2022/1/27,45,0,,,,,,45,2022/3/13
126,1,待機,399,1.①群,0866731209,2019/3/13,2,2022/1/30,42,0,,,,,,42,2022/3/13
127,1,待機,455,1.①群,0869432622,2020/3/2,1,2022/1/31,41,0,,,,,,41,2022/3/13
128,1,待機,200,1.①群,0863125605,2015/8/11,5,2022/2/2,39,0,,,,,,39,2022/3/13
129,1,待機,379,1.①群,0866730721,2018/11/24,2,2022/2/2,39,0,,,,,,39,2022/3/13
130,1,待機,456,1.①群,0869432592,2020/2/15,1,2022/2/2,39,0,,,,,,39,2022/3/13
131,1,待機,457,1.①群,0869433056,2020/4/23,1,2022/2/6,35,0,,,,,,35,2022/3/13
132,1,待機,341,1.①群,0863829367,2018/2/2,3,2022/2/10,31,0,,,,,,31,2022/3/13
134,1,待機,458,1.①群,0862532176,2019/12/7,1,2022/2/11,30,0,,,,,,30,2022/3/13
135,1,待機,236,1.①群,0863126275,2016/2/12,5,2022/2/12,29,0,,,,,,29,2022/3/13
136,1,待機,459,2.②群,0869432684,2020/3/25,1,2022/2/13,28,0,,,,,,28,2022/3/13
137,1,待機,286,1.①群,0864428101,2017/4/10,4,2022/2/15,26,0,,,,,,26,2022/3/13
138,1,待機,383,1.①群,0866730776,2018/12/18,2,2022/2/15,26,0,,,,,,26,2022/3/13
139,1,待機,405,1.①群,0866731360,2019/6/13,2,2022/2/17,24,0,,,,,,24,2022/3/13
140,1,待機,406,2.②群,0862531704,2019/7/7,2,2022/2/18,23,0,,,,,,23,2022/3/13
141,1,待機,460,2.②群,0869432585,2020/2/14,1,2022/2/21,20,0,,,,,,20,2022/3/13
142,1,待機,397,2.②群,0866731285,2019/4/21,2,2022/2/23,18,0,,,,,,18,2022/3/13
143,1,待機,461,2.②群,0869433032,2020/4/22,1,2022/2/26,15,0,,,,,,15,2022/3/13
144,1,待機,402,2.②群,0866730790,2018/12/29,2,2022/2/28,13,0,,,,,,13,2022/3/13
145,1,待機,351,2.②群,0863829473,2018/5/22,3,2022/3/2,11,0,,,,,,11,2022/3/13
146,1,待機,390,2.②群,0866730899,2019/3/9,2,2022/3/3,10,0,,,,,,10,2022/3/13
147,1,待機,409,2.②群,0866731308,2019/4/23,2,2022/3/3,10,0,,,,,,10,2022/3/13
148,1,待機,408,2.②群,0866731339,2019/5/28,2,2022/3/6,7,0,,,,,,7,2022/3/13
149,1,待機,462,2.②群,0869432608,2020/2/17,1,2022/3/6,7,0,,,,,,7,2022/3/13
150,1,待機,396,2.②群,0866731292,2019/4/23,2,2022/3/8,5,0,,,,,,5,2022/3/13
151,1,待機,463,2.②群,0869433018,2020/4/8,1,2022/3/8,5,0,,,,,,5,2022/3/13
152,1,待機,464,5.後期,0869433025,2020/4/16,1,2022/3/11,2,0,,,,,,2,2022/3/13
