LineNo,Group,Stage,Cowcode,CowGroup,cowidNo,birthday,parity,age_in_day,age_in_month,AItimes,firstAI_date,fstAI_age_in_month,lastAI_date,daysfrmlstAI,expDateofnextCalving,openmonths,base_date
49,1,待機,3460,7.育成,871734608,2021/2/27,0,379,12.6,0,,,,,,12.6,2022/3/13
50,1,待機,3461,7.育成,871734615,2021/3/1,0,377,12.6,0,,,,,,12.6,2022/3/13
51,1,待機,3462,7.育成,871734622,2021/3/1,0,377,12.6,0,,,,,,12.6,2022/3/13
52,1,待機,3463,7.育成,871734639,2021/3/8,0,370,12.3,0,,,,,,12.3,2022/3/13
53,1,待機,3464,7.育成,871734646,2021/3/11,0,367,12.2,0,,,,,,12.2,2022/3/13
54,1,待機,3465,7.育成,871734653,2021/3/13,0,365,12.2,0,,,,,,12.2,2022/3/13
55,1,待機,3466,7.育成,871734660,2021/3/17,0,361,12,0,,,,,,12,2022/3/13
38,2,AI待ち 未授精,3348,7.育成,869533480,2020/12/24,0,444,14.8,0,,,,,,14.8,2022/3/13
39,2,AI待ち 未授精,3349,7.育成,869533497,2021/1/11,0,426,14.2,0,,,,,,14.2,2022/3/13
40,2,AI待ち 未授精,3450,7.育成,871734509,2021/1/12,0,425,14.2,0,,,,,,14.2,2022/3/13
41,2,AI待ち 未授精,3451,7.育成,871734516,2021/1/14,0,423,14.1,0,,,,,,14.1,2022/3/13
44,2,AI待ち 未授精,3454,7.育成,871734547,2021/1/23,0,414,13.8,0,,,,,,13.8,2022/3/13
45,2,AI待ち 未授精,3455,7.育成,871734554,2021/1/27,0,410,13.7,0,,,,,,13.7,2022/3/13
47,2,AI待ち 未授精,3457,7.育成,871734578,2021/2/7,0,399,13.3,0,,,,,,13.3,2022/3/13
48,2,AI待ち 未授精,3458,7.育成,871734585,2021/2/16,0,390,13,0,,,,,,13,2022/3/13
32,3,AI待ち 授精済,3340,7.育成,869433407,2020/10/29,0,500,16.7,3,2021/11/21,12.9,2022/2/3,38,,16.7,2022/3/13
33,4,妊娠鑑定予定,3343,7.育成,869433438,2020/11/19,0,479,16,2,2022/1/19,14.2,2022/2/9,32,,16,2022/3/13
