LineNo,Group,Stage,Cowcode,CowGroup,cowidNo,birthday,parity,calving_date,daysfrmcalving,AItimes,firstAI_date,fstAIdaysfrmcalving,lastAI_date,daysfrmlstAI,expDateofnextCalving,opendays,base_date
17,1,待機,332,1.①群,1234503328,2017/12/5,4,2023/1/12,31,0,,,,,,31,2023/2/12
19,1,待機,341,1.①群,1234503418,2018/2/2,4,2023/1/12,31,0,,,,,,31,2023/2/12
31,1,待機,379,1.①群,1234503799,2018/11/24,3,2022/12/31,43,0,,,,,,43,2023/2/12
39,1,待機,394,1.①群,1234503946,2019/3/16,3,2022/12/27,47,0,,,,,,47,2023/2/12
41,1,待機,399,1.①群,1234503991,2019/3/13,3,2022/12/25,49,0,,,,,,49,2023/2/12
56,1,待機,450,1.①群,1234504509,2020/1/31,2,2022/12/27,47,0,,,,,,47,2023/2/12
59,1,待機,457,1.①群,1234504576,2020/4/23,2,2023/1/7,36,0,,,,,,36,2023/2/12
82,1,待機,507,1.①群,1234505072,2020/12/24,1,2022/12/25,49,0,,,,,,49,2023/2/12
83,1,待機,508,1.①群,1234505083,2021/2/16,1,2023/1/10,33,0,,,,,,33,2023/2/12
85,1,待機,387,2.②群,1234503878,2019/1/3,3,2023/1/16,27,0,,,,,,27,2023/2/12
86,1,待機,396,2.②群,1234503968,2019/4/23,3,2023/2/4,8,0,,,,,,8,2023/2/12
87,1,待機,402,2.②群,1234504026,2018/12/29,3,2023/2/11,1,0,,,,,,1,2023/2/12
88,1,待機,409,2.②群,1234504093,2019/4/23,3,2023/1/30,13,0,,,,,,13,2023/2/12
89,1,待機,447,2.②群,1234504475,2019/9/7,2,2023/1/18,25,0,,,,,,25,2023/2/12
90,1,待機,452,2.②群,1234504521,2019/8/6,2,2023/1/15,28,0,,,,,,28,2023/2/12
91,1,待機,458,2.②群,1234504587,2019/12/7,2,2023/1/23,20,0,,,,,,20,2023/2/12
92,1,待機,462,2.②群,1234504622,2020/2/17,2,2023/2/11,1,0,,,,,,1,2023/2/12
93,1,待機,465,2.②群,1234504655,2020/4/5,2,2023/2/6,6,0,,,,,,6,2023/2/12
94,1,待機,509,2.②群,1234505094,2020/10/29,1,2023/1/13,30,0,,,,,,30,2023/2/12
95,1,待機,510,2.②群,1234505106,2021/1/14,1,2023/1/17,26,0,,,,,,26,2023/2/12
96,1,待機,511,2.②群,1234505117,2021/1/16,1,2023/1/18,25,0,,,,,,25,2023/2/12
97,1,待機,512,2.②群,1234505128,2021/2/27,1,2023/1/25,18,0,,,,,,18,2023/2/12
15,2,AI待ち 未授精,325,1.①群,1234503250,2017/8/20,4,2022/12/10,64,0,,,,,,64,2023/2/12
16,2,AI待ち 未授精,329,1.①群,1234503294,2017/11/28,4,2022/12/20,54,0,,,,,,54,2023/2/12
28,2,AI待ち 未授精,376,1.①群,1234503766,2018/11/7,3,2022/12/23,51,0,,,,,,51,2023/2/12
34,2,AI待ち 未授精,382,1.①群,1234503823,2018/10/22,3,2022/12/21,53,0,,,,,,53,2023/2/12
81,2,AI待ち 未授精,506,1.①群,1234505061,2021/1/27,1,2022/12/22,52,0,,,,,,52,2023/2/12
48,3,AI待ち 授精済,437,1.①群,1234504374,2019/8/18,2,2022/10/3,132,2,2022/12/1,59,2022/12/23,51,,132,2023/2/12
50,3,AI待ち 授精済,439,1.①群,1234504396,2019/10/4,2,2022/8/30,166,3,2022/10/27,58,2023/1/6,37,,166,2023/2/12
54,3,AI待ち 授精済,448,1.①群,1234504486,2019/8/18,2,2022/11/6,98,2,2023/1/4,59,2023/1/5,38,,98,2023/2/12
76,3,AI待ち 授精済,501,1.①群,1234505016,2020/12/19,1,2022/10/31,104,1,2022/12/29,59,2022/12/29,45,,104,2023/2/12
14,3,AI待ち 授精済,317,1.①群,1234503171,2017/6/27,4,2022/10/10,125,2,2022/12/15,66,2023/1/26,17,,125,2023/2/12
18,3,AI待ち 授精済,336,1.①群,1234503362,2017/12/3,4,2022/9/8,157,4,2022/11/3,56,2023/2/2,10,,157,2023/2/12
21,3,AI待ち 授精済,348,1.①群,1234503485,2018/1/12,4,2022/12/14,60,1,2023/2/9,57,2023/2/9,3,,60,2023/2/12
30,3,AI待ち 授精済,378,1.①群,1234503788,2018/11/30,3,2022/11/26,78,1,2023/1/26,61,2023/1/26,17,,78,2023/2/12
38,3,AI待ち 授精済,393,1.①群,1234503935,2019/3/30,3,2022/12/14,60,1,2023/2/9,57,2023/2/9,3,,60,2023/2/12
51,3,AI待ち 授精済,440,1.①群,1234504408,2019/10/25,2,2022/12/9,65,1,2023/2/2,55,2023/2/2,10,,65,2023/2/12
57,3,AI待ち 授精済,451,1.①群,1234504510,2020/1/16,2,2022/11/22,82,1,2023/1/19,58,2023/1/19,24,,82,2023/2/12
72,3,AI待ち 授精済,496,1.①群,1234504969,2020/10/12,1,2022/9/19,146,3,2022/11/17,59,2023/1/26,17,,146,2023/2/12
78,3,AI待ち 授精済,503,1.①群,1234505038,2021/1/16,1,2022/12/3,71,1,2023/1/26,54,2023/1/26,17,,71,2023/2/12
79,3,AI待ち 授精済,504,1.①群,1234505049,2020/12/15,1,2022/12/8,66,1,2023/2/2,56,2023/2/2,10,,66,2023/2/12
13,5,妊娠鑑定+,316,1.①群,1234503160,2017/8/17,4,2022/11/3,101,1,2023/1/12,70,2023/1/12,31,2023/10/19,70,2023/2/12
22,5,妊娠鑑定+,350,1.①群,1234503508,2018/3/1,3,2022/8/20,176,3,2022/10/13,54,2023/2/2,10,2023/11/9,166,2023/2/12
24,5,妊娠鑑定+,360,1.①群,1234503609,2018/7/15,3,2022/8/19,177,4,2022/10/13,55,2023/2/9,3,,174,2023/2/12
29,5,妊娠鑑定+,377,1.①群,1234503777,2018/12/1,3,2022/12/2,72,1,2023/2/2,62,2023/2/2,10,2023/11/9,62,2023/2/12
32,5,妊娠鑑定+,380,1.①群,1234503801,2018/10/13,3,2022/9/14,151,4,2022/11/10,57,2023/1/17,26,2023/10/24,125,2023/2/12
33,5,妊娠鑑定+,381,1.①群,1234503812,2018/9/14,3,2022/11/21,83,1,2023/1/19,59,2023/1/19,24,2023/10/26,59,2023/2/12
36,5,妊娠鑑定+,384,1.①群,1234503845,2018/11/3,3,2022/11/13,91,1,2023/1/12,60,2023/1/12,31,2023/10/19,59,2023/2/12
37,5,妊娠鑑定+,388,1.①群,1234503889,2019/1/15,3,2022/11/16,88,1,2023/1/12,57,2023/1/12,31,2023/10/19,57,2023/2/12
65,5,妊娠鑑定+,480,1.①群,1234504802,2020/7/26,1,2022/7/7,220,5,2022/9/7,62,2023/1/12,31,2023/10/19,189,2023/2/12
66,5,妊娠鑑定+,481,1.①群,1234504813,2020/6/27,1,2022/7/10,217,5,2022/9/8,60,2023/1/19,24,2023/10/26,193,2023/2/12
67,5,妊娠鑑定+,482,1.①群,1234504824,2020/7/26,1,2022/7/13,214,5,2022/9/8,57,2023/1/19,24,2023/10/26,190,2023/2/12
69,5,妊娠鑑定+,485,1.①群,1234504857,2020/4/24,1,2022/7/19,208,4,2022/9/15,58,2023/1/12,31,2023/10/19,177,2023/2/12
70,5,妊娠鑑定+,487,1.①群,1234504879,2020/7/31,1,2022/8/1,195,4,2022/10/6,66,2023/1/30,13,2023/11/6,182,2023/2/12
