LineNo,Group,Stage,Cowcode,CowGroup,cowidNo,birthday,parity,age_in_day,age_in_month,AItimes,firstAI_date,fstAI_age_in_month,lastAI_date,daysfrmlstAI,expDateofnextCalving,openmonths,base_date
64,1,待機,3600,7.育成,123436009,2022/1/23,0,385,12.8,0,,,,,,12.8,2023/2/12
65,1,待機,3601,7.育成,123436010,2022/1/27,0,381,12.7,0,,,,,,12.7,2023/2/12
66,1,待機,3602,7.育成,123436021,2022/1/30,0,378,12.6,0,,,,,,12.6,2023/2/12
67,1,待機,3603,7.育成,123436032,2022/1/31,0,377,12.6,0,,,,,,12.6,2023/2/12
68,1,待機,3604,7.育成,123436043,2022/2/2,0,375,12.5,0,,,,,,12.5,2023/2/12
69,1,待機,3605,7.育成,123436054,2022/2/2,0,375,12.5,0,,,,,,12.5,2023/2/12
70,1,待機,3606,7.育成,123436065,2022/2/6,0,371,12.4,0,,,,,,12.4,2023/2/12
71,1,待機,3607,7.育成,123436076,2022/2/10,0,367,12.2,0,,,,,,12.2,2023/2/12
72,1,待機,3608,7.育成,123436087,2022/2/15,0,362,12.1,0,,,,,,12.1,2023/2/12
73,1,待機,3609,7.育成,123436098,2022/2/17,0,360,12,0,,,,,,12,2023/2/12
54,2,AI待ち 未授精,3559,7.育成,123435592,2021/11/30,0,439,14.6,0,,,,,,14.6,2023/2/12
57,2,AI待ち 未授精,3563,7.育成,123435637,2021/12/16,0,423,14.1,0,,,,,,14.1,2023/2/12
58,2,AI待ち 未授精,3564,7.育成,123435648,2021/12/16,0,423,14.1,0,,,,,,14.1,2023/2/12
59,2,AI待ち 未授精,3565,7.育成,123435659,2021/12/20,0,419,14,0,,,,,,14,2023/2/12
61,2,AI待ち 未授精,3567,7.育成,123435671,2022/1/1,0,407,13.6,0,,,,,,13.6,2023/2/12
62,2,AI待ち 未授精,3568,7.育成,123435682,2022/1/3,0,405,13.5,0,,,,,,13.5,2023/2/12
63,2,AI待ち 未授精,3569,7.育成,123435693,2022/1/11,0,397,13.2,0,,,,,,13.2,2023/2/12
45,3,AI待ち 授精済,3548,7.育成,123435480,2021/10/17,0,483,16.1,2,2022/12/19,14.3,2023/1/28,15,,16.1,2023/2/12
60,3,AI待ち 授精済,3566,7.育成,123435660,2021/12/21,0,418,13.9,1,2023/2/9,13.8,2023/2/9,3,,13.9,2023/2/12
53,5,妊娠鑑定+,3558,7.育成,123435581,2021/11/29,0,440,14.7,1,2023/1/8,13.5,2023/1/8,34,2023/10/15,13.5,2023/2/12
46,5,妊娠鑑定+,3550,7.育成,123435503,2021/10/24,0,476,15.9,2,2022/12/3,13.5,2023/1/28,15,2023/11/4,15.4,2023/2/12
49,5,妊娠鑑定+,3554,7.育成,123435547,2021/11/6,0,463,15.4,2,2022/12/28,13.9,2023/1/17,26,2023/10/24,14.6,2023/2/12
51,5,妊娠鑑定+,3556,7.育成,123435569,2021/11/10,0,459,15.3,2,2022/12/21,13.5,2023/1/9,34,2023/10/16,14.2,2023/2/12
55,5,妊娠鑑定+,3560,7.育成,123435604,2021/12/10,0,429,14.3,1,2023/1/25,13.7,2023/1/25,18,2023/11/1,13.7,2023/2/12
56,5,妊娠鑑定+,3561,7.育成,123435615,2021/12/11,0,428,14.3,1,2023/2/2,13.9,2023/2/2,10,2023/11/9,13.9,2023/2/12
1,5,妊娠鑑定+,3456,5.こうきK,123434568,2021/2/5,0,737,24.6,4,2022/3/11,13.3,2022/5/21,267,2023/2/25,15.7,2023/2/12
2,5,妊娠鑑定+,3457,5.こうきK,123434579,2021/2/7,0,735,24.5,2,2022/4/6,14.1,2022/5/12,276,2023/2/16,15.3,2023/2/12
3,5,妊娠鑑定+,3463,5.こうきK,123434636,2021/3/8,0,706,23.5,1,2022/5/12,14.3,2022/5/12,276,2023/2/16,14.3,2023/2/12
4,5,妊娠鑑定+,3468,5.こうきK,123434681,2021/3/26,0,688,22.9,1,2022/5/18,13.9,2022/5/18,270,2023/2/22,13.9,2023/2/12
5,5,妊娠鑑定+,3469,5.こうきK,123434692,2021/4/4,0,679,22.6,1,2022/5/21,13.7,2022/5/21,267,2023/2/25,13.7,2023/2/12
6,5,妊娠鑑定+,3349,6.ぜんきZ,123433499,2021/1/11,0,762,25.4,3,2022/3/16,14.3,2022/9/21,144,2023/6/28,20.6,2023/2/12
7,5,妊娠鑑定+,3450,6.ぜんきZ,123434502,2021/1/12,0,761,25.4,3,2022/4/13,15.2,2022/7/4,223,2023/4/10,17.9,2023/2/12
8,5,妊娠鑑定+,3462,6.ぜんきZ,123434625,2021/3/1,0,713,23.8,2,2022/4/7,13.4,2022/5/26,262,2023/3/2,15,2023/2/12
9,5,妊娠鑑定+,3464,6.ぜんきZ,123434647,2021/3/10,0,704,23.5,3,2022/5/31,14.9,2022/7/4,223,2023/4/10,16,2023/2/12
10,5,妊娠鑑定+,3465,6.ぜんきZ,123434658,2021/3/13,0,701,23.4,2,2022/6/6,15,2022/6/7,250,2023/3/14,15,2023/2/12
11,5,妊娠鑑定+,3466,6.ぜんきZ,123434669,2021/3/17,0,697,23.2,1,2022/6/6,14.9,2022/6/6,251,2023/3/13,14.9,2023/2/12
12,5,妊娠鑑定+,3471,6.ぜんきZ,123434715,2021/4/13,0,670,22.3,1,2022/6/1,13.8,2022/6/1,256,2023/3/8,13.8,2023/2/12
13,5,妊娠鑑定+,3472,6.ぜんきZ,123434726,2021/4/16,0,667,22.2,2,2022/6/1,13.7,2022/6/21,236,2023/3/28,14.4,2023/2/12
14,5,妊娠鑑定+,3473,6.ぜんきZ,123434737,2021/4/24,0,659,22,1,2022/6/8,13.7,2022/6/8,249,2023/3/15,13.7,2023/2/12
15,5,妊娠鑑定+,3474,6.ぜんきZ,123434748,2021/4/29,0,654,21.8,2,2022/6/16,13.8,2022/7/6,221,2023/4/12,14.4,2023/2/12
16,5,妊娠鑑定+,3476,6.ぜんきZ,123434760,2021/6/8,0,614,20.5,2,2022/8/26,14.8,2022/10/6,129,2023/7/13,16.2,2023/2/12
17,5,妊娠鑑定+,3477,6.ぜんきZ,123434771,2021/7/6,0,586,19.5,2,2022/9/15,14.5,2022/10/8,127,2023/7/15,15.3,2023/2/12
18,5,妊娠鑑定+,3478,6.ぜんきZ,123434782,2021/7/9,0,583,19.4,1,2022/8/28,13.8,2022/8/28,168,2023/6/4,13.8,2023/2/12
19,5,妊娠鑑定+,3480,6.ぜんきZ,123434805,2021/7/18,0,574,19.1,1,2022/8/26,13.5,2022/8/26,170,2023/6/2,13.5,2023/2/12
20,5,妊娠鑑定+,3481,6.ぜんきZ,123434816,2021/7/28,0,564,18.8,1,2022/10/8,14.6,2022/10/8,127,2023/7/15,14.6,2023/2/12
21,5,妊娠鑑定+,3482,6.ぜんきZ,123434827,2021/7/29,0,563,18.8,1,2022/9/15,13.8,2022/9/15,150,2023/6/22,13.8,2023/2/12
22,5,妊娠鑑定+,3483,6.ぜんきZ,123434838,2021/7/29,0,563,18.8,1,2022/9/15,13.8,2022/9/15,150,2023/6/22,13.8,2023/2/12
23,5,妊娠鑑定+,3484,6.ぜんきZ,123434849,2021/8/3,0,558,18.6,1,2022/9/20,13.8,2022/9/20,145,2023/6/27,13.8,2023/2/12
24,5,妊娠鑑定+,3485,6.ぜんきZ,123434850,2021/8/6,0,555,18.5,3,2022/9/25,13.8,2022/10/20,115,2023/7/27,14.7,2023/2/12
25,5,妊娠鑑定+,3486,6.ぜんきZ,123434861,2021/8/7,0,554,18.5,1,2022/9/15,13.5,2022/9/15,150,2023/6/22,13.5,2023/2/12
26,5,妊娠鑑定+,3487,6.ぜんきZ,123434872,2021/8/14,0,547,18.2,1,2022/9/29,13.7,2022/9/29,136,2023/7/6,13.7,2023/2/12
27,5,妊娠鑑定+,3488,6.ぜんきZ,123434883,2021/8/19,0,542,18.1,1,2022/10/27,14.5,2022/10/27,108,2023/8/3,14.5,2023/2/12
28,5,妊娠鑑定+,3490,6.ぜんきZ,123434906,2021/8/24,0,537,17.9,1,2022/10/17,14,2022/10/17,118,2023/7/24,14,2023/2/12
29,5,妊娠鑑定+,3491,6.ぜんきZ,123434917,2021/8/24,0,537,17.9,2,2022/9/30,13.4,2022/10/23,112,2023/7/30,14.2,2023/2/12
30,5,妊娠鑑定+,3492,6.ぜんきZ,123434928,2021/8/31,0,530,17.7,1,2022/10/19,13.8,2022/10/19,116,2023/7/26,13.8,2023/2/12
31,5,妊娠鑑定+,3493,6.ぜんきZ,123434939,2021/9/4,0,526,17.5,1,2022/10/11,13.4,2022/10/11,124,2023/7/18,13.4,2023/2/12
32,5,妊娠鑑定+,3494,6.ぜんきZ,123434940,2021/9/5,0,525,17.5,1,2022/11/11,14.4,2022/11/11,93,2023/8/18,14.4,2023/2/12
33,5,妊娠鑑定+,3495,6.ぜんきZ,123434951,2021/9/5,0,525,17.5,1,2022/11/1,14.1,2022/11/1,103,2023/8/8,14.1,2023/2/12
34,5,妊娠鑑定+,3496,6.ぜんきZ,123434962,2021/9/9,0,521,17.4,1,2022/11/2,14,2022/11/2,102,2023/8/9,14,2023/2/12
35,5,妊娠鑑定+,3497,6.ぜんきZ,123434973,2021/9/10,0,520,17.3,2,2022/11/3,14,2022/11/28,76,2023/9/4,14.8,2023/2/12
36,5,妊娠鑑定+,3498,6.ぜんきZ,123434984,2021/9/14,0,516,17.2,2,2022/11/3,13.8,2022/12/2,72,2023/9/8,14.8,2023/2/12
37,5,妊娠鑑定+,3541,6.ぜんきZ,123435413,2021/9/22,0,508,16.9,1,2022/11/5,13.6,2022/11/5,99,2023/8/12,13.6,2023/2/12
38,5,妊娠鑑定+,3544,6.ぜんきZ,123435446,2021/10/14,0,486,16.2,1,2022/11/30,13.7,2022/11/30,74,2023/9/6,13.7,2023/2/12
39,5,妊娠鑑定+,3545,6.ぜんきZ,123435457,2021/10/16,0,484,16.1,1,2022/12/7,13.9,2022/12/7,67,2023/9/13,13.9,2023/2/12
40,5,妊娠鑑定+,3547,6.ぜんきZ,123435479,2021/10/17,0,483,16.1,1,2022/12/1,13.7,2022/12/1,73,2023/9/7,13.7,2023/2/12
41,5,妊娠鑑定+,3549,6.ぜんきZ,123435491,2021/10/22,0,478,15.9,1,2022/12/3,13.6,2022/12/3,71,2023/9/9,13.6,2023/2/12
42,5,妊娠鑑定+,3499,7.育成,123434995,2021/9/18,0,512,17.1,2,2022/12/1,14.6,2023/1/3,40,2023/10/10,15.7,2023/2/12
43,5,妊娠鑑定+,3543,7.育成,123435435,2021/10/13,0,487,16.2,2,2022/11/30,13.8,2022/12/15,59,2023/9/21,14.3,2023/2/12
44,5,妊娠鑑定+,3546,7.育成,123435468,2021/10/17,0,483,16.1,2,2022/11/29,13.6,2022/12/19,55,2023/9/25,14.3,2023/2/12
47,5,妊娠鑑定+,3551,7.育成,123435514,2021/10/28,0,472,15.7,1,2022/12/9,13.6,2022/12/9,65,2023/9/15,13.6,2023/2/12
48,5,妊娠鑑定+,3553,7.育成,123435536,2021/10/31,0,469,15.6,1,2022/12/29,14.1,2022/12/29,45,2023/10/5,14.1,2023/2/12
50,5,妊娠鑑定+,3555,7.育成,123435558,2021/11/8,0,461,15.4,1,2022/12/25,13.7,2022/12/25,49,2023/10/1,13.7,2023/2/12
52,5,妊娠鑑定+,3557,7.育成,123435570,2021/11/12,0,457,15.2,1,2022/12/27,13.7,2022/12/27,47,2023/10/3,13.7,2023/2/12
74,8,哺育,3610,7.育成,123436100,2022/2/23,0,354,11.8,0,,,,,,11.8,2023/2/12
75,8,哺育,3612,7.育成,123436122,2022/3/3,0,346,11.5,0,,,,,,11.5,2023/2/12
76,8,哺育,3613,7.育成,123436133,2022/3/3,0,346,11.5,0,,,,,,11.5,2023/2/12
77,8,哺育,3614,7.育成,123436144,2022/3/6,0,343,11.4,0,,,,,,11.4,2023/2/12
78,8,哺育,3615,7.育成,123436155,2022/3/8,0,341,11.4,0,,,,,,11.4,2023/2/12
79,8,哺育,3616,7.育成,123436166,2022/3/13,0,336,11.2,0,,,,,,11.2,2023/2/12
80,8,哺育,3617,7.育成,123436177,2022/3/21,0,328,10.9,0,,,,,,10.9,2023/2/12
81,8,哺育,3618,7.育成,123436188,2022/3/22,0,327,10.9,0,,,,,,10.9,2023/2/12
82,8,哺育,3619,7.育成,123436199,2022/3/24,0,325,10.8,0,,,,,,10.8,2023/2/12
83,8,哺育,3620,7.育成,123436201,2022/4/8,0,310,10.3,0,,,,,,10.3,2023/2/12
84,8,哺育,3621,7.育成,123436212,2022/4/8,0,310,10.3,0,,,,,,10.3,2023/2/12
85,8,哺育,3622,7.育成,123436223,2022/4/13,0,305,10.2,0,,,,,,10.2,2023/2/12
86,8,哺育,3623,7.育成,123436234,2022/4/14,0,304,10.1,0,,,,,,10.1,2023/2/12
